age,ageSD,MaO18,MaO18SD
13.3835,0.133835,-10.228,0.1
13.3955,0.133955,-10.867,0.1
13.408,0.13408,-9.004,0.1
13.4205,0.134205,-9.497,0.1
13.433,0.13433,-9.523,0.1
13.446,0.13446,-9.994,0.1
13.4585,0.134585,-10.058,0.1
13.4705,0.134705,-10.251,0.1
13.4835,0.134835,-9.546,0.1
13.496,0.13496,-9.453,0.1
13.5085,0.135085,-8.896,0.1
13.5215,0.135215,-11.171,0.1
13.5345,0.135345,-9.769,0.1
13.5475,0.135475,-10.757,0.1
13.5565,0.135565,-9.814,0.1
13.5655,0.135655,-9.698,0.1
13.574,0.13574,-9.504,0.1
13.583,0.13583,-8.853,0.1
13.5915,0.135915,-10.26,0.1
13.6,0.136,-9.682,0.1
13.609,0.13609,-9.723,0.1
13.618,0.13618,-10.558,0.1
13.6265,0.136265,-9.995,0.1
13.635,0.13635,-9.791,0.1
13.644,0.13644,-10.183,0.1
13.6525,0.136525,-10.68,0.1
13.6615,0.136615,-10.21,0.1
13.67,0.1367,-9.817,0.1
13.6785,0.136785,-9.9,0.1
13.6875,0.136875,-9.073,0.1
13.696,0.13696,-10.114,0.1
13.705,0.13705,-10.02,0.1
13.714,0.13714,-9.584,0.1
13.7225,0.137225,-9.765,0.1
13.731,0.13731,-9.703,0.1
13.7435,0.137435,-10.931,0.1
13.756,0.13756,-9.915,0.1
13.7685,0.137685,-9.927,0.1
13.7805,0.137805,-10.237,0.1
13.7925,0.137925,-9.581,0.1
13.805,0.13805,-9.766,0.1
13.817,0.13817,-9.317,0.1
13.829,0.13829,-9.45,0.1
13.8415,0.138415,-9.467,0.1
13.853,0.13853,-9.629,0.1
13.8655,0.138655,-9.399,0.1
13.8775,0.138775,-9.783,0.1
13.889,0.13889,-9.645,0.1
13.9015,0.139015,-8.91,0.1
13.9135,0.139135,-9.011,0.1
13.9255,0.139255,-9.15,0.1
13.938,0.13938,-9.162,0.1
13.9505,0.139505,-8.601,0.1
13.9625,0.139625,-8.736,0.1
13.9755,0.139755,-9.411,0.1
13.988,0.13988,-9.427,0.1
14.0015,0.140015,-9.102,0.1
14.0155,0.140155,-8.959,0.1
14.029,0.14029,-9.05,0.1
14.0425,0.140425,-9.533,0.1
14.056,0.14056,-9.313,0.1
14.069,0.14069,-9.432,0.1
14.082,0.14082,-9.372,0.1
14.0955,0.140955,-9.679,0.1
14.1085,0.141085,-9.688,0.1
14.122,0.14122,-9.482,0.1
14.135,0.14135,-9.273,0.1
14.1485,0.141485,-8.927,0.1
14.1615,0.141615,-9.437,0.1
14.1885,0.141885,-10.008,0.1
14.2025,0.142025,-8.957,0.1
14.2205,0.142205,-9.416,0.1
14.2385,0.142385,-9.485,0.1
14.257,0.14257,-9.728,0.1
14.2745,0.142745,-9.577,0.1
14.2915,0.142915,-9.291,0.1
14.309,0.14309,-9.416,0.1
14.326,0.14326,-9.797,0.1
14.3435,0.143435,-9.835,0.1
14.361,0.14361,-9.714,0.1
14.378,0.14378,-8.648,0.1
14.396,0.14396,-8.917,0.1
14.4135,0.144135,-9.432,0.1
14.4315,0.144315,-8.724,0.1
14.449,0.14449,-9.397,0.1
14.466,0.14466,-8.928,0.1
14.4835,0.144835,-8.546,0.1
14.5005,0.145005,-8.589,0.1
14.536,0.14536,-8.712,0.1
14.547,0.14547,-8.449,0.1
14.5575,0.145575,-8.05,0.1
14.5685,0.145685,-8.745,0.1
14.579,0.14579,-8.53,0.1
14.5895,0.145895,-8.661,0.1
14.6,0.146,-9.027,0.1
14.6115,0.146115,-8.46,0.1
14.622,0.14622,-7.824,0.1
14.6335,0.146335,-8.239,0.1
14.6465,0.146465,-8.003,0.1
14.66,0.1466,-8.307,0.1
14.6735,0.146735,-8.174,0.1
14.686,0.14686,-7.606,0.1
14.6995,0.146995,-7.395,0.1
